id,title,title_detail,img,title_ori,title_jpn,skor,produser,tipe,status,total_eps,durasi,tgl_rilis,studio,genre,data_sinopsis,data_eps
anime287,Gekidol,Gekidol (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2021/03/Gekidol-Sub-Indo.jpg, Gekidol, ゲキドル, 5.66,, TV, Completed, 12, 23 Menit," Jan 5, 2021", Hoods Entertainment, Music,"Tepat lima tahun lalu, Bumi diguncang dengan sebuah bencana yang begitu misterius. Ketika bencana ini menghatam Bumi, sebuah kota secara tiba – tiba menghilang dan tak pernah di temukan lagi. Bertahun – tahun sejak kejadian tersebut, kini Bumi mulai berubah.Di masa sekarang, terdapat sekelompok gadis yang begitu tertarik dengan Theatrical Material System. Ini merupakan Theater yang menggunakan 3D Hologram yang digunakan untuk memulihkan bumi pasca bencana besar beberapa tahun lalu.Mengetahui bahwa theater ini begitu menarik, sekelompok gadis ini bertekad untuk bisa tampil di Theatrical Material System. Mampukah mereka mewujudkan mimpi tersebut?","[('Gekidol Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-12-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=ZzE1ZENySCtkWnZ6VEFQWHBBT2NtandFYmtzRXBkbWZFN1o3MTQzeWJmOD0='), ('Gekidol Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-11-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=RkF3ZGhGN09sTk52V1gwSDBhTGZTVk9uOXZ2TFFQUXpoUmRXVmUrSHQrdz0='), ('Gekidol Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-10-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=L1lJZVVlSTFJVzM2RUlTenVrWDdqNVdUTUl0R1E3OG1hOGRnYlJIM2lpdz0='), ('Gekidol Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-9-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=NnoxRnNGTFhYMnl5UnY4NHphaE94UT09'), ('Gekidol Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-8-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=WlZMQnZsdGtBUlZIOVJScUxCUkRxdz09'), ('Gekidol Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-7-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=VkhHNTBiKzJWT3lDMkYyNjl6U3E1UT09'), ('Gekidol Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-6-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=QTV0WXZNSm5WV0V0bU8zM2w4cHg1dz09'), ('Gekidol Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-5-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=WTNPclpQQlBZNzc3cTE1dEkyQlZodz09'), ('Gekidol Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-4-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=Z3lmbjg0VUUwczJ5ZUEvWW5ha01JUT09'), ('Gekidol Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-3-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=d1plVllqSjdub0dpWENqUDk1ek9QQT09'), ('Gekidol Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-2-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=QUNDd3dsdHcyaTUzbHNlaFdDZzlkdz09'), ('Gekidol Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/gdkl-episode-1-sub-indo/', '25 April,2021', 'https://desustream.me/moedesu/?id=aTJYTDdZVTI1WklRMGk2enZWallsZz09')]"
anime288,Gekkan Shoujo Nozaki-kun,Gekkan Shoujo Nozaki-kun BD (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2018/02/Gekkan-Shoujo-Nozaki-kun-Sub-Indo.jpg, Gekkan Shoujo Nozaki-kun, 月刊少女野崎くん, 8.16," TV Tokyo, Frontier Works, Media Factory, AT-X, Sony Music Communications", BD, Completed, 12, 24 Menit / Episode," Jul 7, 2014 sampai Sep 22, 2014", Doga Kobo," Comedy, Romance, School","Awal cerita Sakura Chiyo sangat menyukai teman sekelasnya sendiri yakni Nozaki Umetarou, dan suatu hari Akhirnya Sakura mengungkapkan perasaannya kepada Nozaki, namun karena terjadi kesalahpahaman ia justru hanya mendapat tanda tangan Nozaki.Namun Sakura tetap menjelaskannya dan berusaha lebih untuk mengungkapkan perasaannya, tapi malah justru tambah parah, Nozaki akhirnya mengajak Sakura untuk pergi ke apartemennya, tapi bukan untuk hal-hal aneh, melainkan ia menyuruh Sakura untuk membantunya mengerjakan sebuah Manga.Ternyata Nozaki selama ini merupakan seorang Mangaka Shoujo terkenal yang memiliki pen name Yumeno Sakiko. Karena ingin lebih dekat bersama Nozaki, akhirnya Sakura pun memutuskan untuk membantu dan menjadi Asisten Nozaki.","[('Gekkan Shoujo Nozaki-kun Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-12-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03LzlDSnlMZEFlelgra0JvWFlZL0pZdz0='), ('Gekkan Shoujo Nozaki-kun Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-11-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03MHptV2RoMDQyTWM2MjQyU01kS2lOQT0='), ('Gekkan Shoujo Nozaki-kun Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-10-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03MWs0a1NtVnhsRXptYldXZWp3Y3diQT0='), ('Gekkan Shoujo Nozaki-kun Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-9-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03MnVVTHkzMEZENCtha2U3TUYxWEtrWT0='), ('Gekkan Shoujo Nozaki-kun Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-8-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03ejZ3ZmZ2azlFdlRjbUhIV0dnYWl2cz0='), ('Gekkan Shoujo Nozaki-kun Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-7-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03OU0wV0x5dXdQQ2UwNnlRYkhOY242bz0='), ('Gekkan Shoujo Nozaki-kun Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-6-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03emkvcm1UdElxalBkM2QvZ25sOGR0ST0='), ('Gekkan Shoujo Nozaki-kun Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-5-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03emhCa3Y0bThyYWVxSXJHaXp1U0c1dz0='), ('Gekkan Shoujo Nozaki-kun Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-4-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03Mi9PV0Qxcmc2T0hvQU12U0d5dG1DST0='), ('Gekkan Shoujo Nozaki-kun Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-3-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03NU5SSlBESWFJNVpxNUF5eGtqY2p0Zz0='), ('Gekkan Shoujo Nozaki-kun Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-2-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03MGlwK2MyV2FkNjA0d0FOdndoWlJrVT0='), ('Gekkan Shoujo Nozaki-kun Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/gkksnzk-episode-1-sub-indo/', '4 September,2019', 'https://desustream.me/desuplay/v2/?id=Z3lDYzl1Tkl5K3lna1B3QXlrRG03MTA4ZitiOUJmREJlZVdWc0VxVG5kRT0=')]"
anime289,Genei wo Kakeru Taiyou,Genei wo Kakeru Taiyou BD (Episode 1 – 13) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2018/03/Genei-wo-Kakeru-Taiyou-Sub-Indo.jpg, Genei wo Kakeru Taiyou, 幻影ヲ駆ケル太陽, 6.49," Aniplex, Nihon Ad Systems, Bushiroad, Good Smile Company, Asahi Broadcasting", BD, Completed, 13, 24 Menit / Episode," Jul 6, 2013 sampai Sep 28, 2013", AIC, Magic,"Sejak dari zaman kuno, dunia ini telah dikuasai oleh 2 kartu Tarot yang mengatur mereka.Yang pertama, Diablos-Tarot. Kartu Tarot yang membawa kehancuran, kebinasaan, dan kedengkian para iblis yang memakan jiwa serta membawa penderitaan pada manusia.Dan Elemental-Tarot. Kartu yang mendapatakan sumber kekuatan dari alam yang bertujuan untuk melawan Diablos-Tarrot.Cerita bermula saat 22 gadis dari berbagai keturunan berbeda yang terpilih sebagai Wielders dari Elemental-Tarot dan menjadi pemegang kartu. Dari sinilah kisah mereka dimulai terjun kedalam pertempuran yang tiada habisnya, membawa beban dan takdir yang harus mereka terima serta menjaga kedamaian dunia.","[('Genei wo Kakeru Taiyou Episode 13 (End) Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-13-sub-indo/', '18 September,2018', 'https://desustream.me/desudrive/player.php?id=blY0dmdSekFLclhBL2V6dHdDMS8xVWtKdDMrRGR5YTRPM2tZbnJOai9oL2hUWWw0bFhHUFdEdFBDb2g3MzhscQ=='), ('Genei wo Kakeru Taiyou Episode 12 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-12-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10WGdldUpKMEJ0YjdUaVYxUGZKMUpwTT0='), ('Genei wo Kakeru Taiyou Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-11-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10ZFRKOG5hRzBXVEgwRlYwSmlGODAyVT0='), ('Genei wo Kakeru Taiyou Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-10-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10ZGp3dCtJdDB1czQvd0FSVDhEd2FCUT0='), ('Genei wo Kakeru Taiyou Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-9-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10YmFmaGhLYWd1SUdQZEM5Y2VTQUJNND0='), ('Genei wo Kakeru Taiyou Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-8-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10U2Q3ekMvTVMxZldhTG11YUpIMU1IZz0='), ('Genei wo Kakeru Taiyou Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-7-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10YnZUVythL1EwTWlhY0hVQ0tmS1gwZz0='), ('Genei wo Kakeru Taiyou Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-6-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10WWVkTzNrWmtpU254cW0yMXhXUndpWT0='), ('Genei wo Kakeru Taiyou Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-5-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10UnFaUG55VmRRamY0ZURxYTdsLzBJOD0='), ('Genei wo Kakeru Taiyou Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-4-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10WGdBOHhPN0hjd2tZdmNIa2JwTmx5WT0='), ('Genei wo Kakeru Taiyou Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-3-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10VTh0NTFSNzZzRG9QUmd1bDdtSVRkUT0='), ('Genei wo Kakeru Taiyou Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-2-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10YTFod3Fua0xzT1E0S2JVa0x5aFhBST0='), ('Genei wo Kakeru Taiyou Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/generuyou-episode-1-sub-indo/', '18 September,2018', 'https://desustream.me/playdesu/v2/?id=S2F4Z0JPZzgyOEc5bmY5eEVoMm10V3k2RXV1d1gvK2NGYUZZcjdjMzYvOD0=')]"
anime290,Genjitsu Shugi Yuusha no Oukoku Saikenki On-Going,Genjitsu Shugi Yuusha no Oukoku Saikenki Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2021/07/Genjitsu-Shugi-Yuusha-no-Oukoku-Saikenki-Sub-Indo.jpg, Genjitsu Shugi Yuusha no Oukoku Saikenki, 現実主義勇者の王国再建記, 7.12, -, TV, Ongoing, 13, 24 Menit," Jul 4, 2021", J.C.Staff," Action, Fantasy, Harem, Magic, Military, Romance","Mengisahkan Kazuya Souma, seorang pahlawan yang berasal dari dunia lain. Dalam pemanggilannya, Souma ditugaskan untuk mengalahkan raja Iblis dan menyelamatkan dunia dari kehancuran. Sayangnya, Kerajaan Elfreiden tempat Souma tinggal mengalami masalah ekonomi dan finansial.Hasilnya, Raja terdahulu memutuskan untuk menjadikan Souma sebagai Raja Elfreiden dan ia juga menikahi sang putri. Kini, beban Souma menjadi lebih banyak mengingat ia juga harus mengatasi krisis ekonimi kerajaan tersebut.Setiap hari, Souma mulai melakukan berbagai perubahan dengan kebijakannya dan menjadikan Kerajaan Elfreiden kembali seperti semula, bahkan lebih baik lagi. Dalam memimpin kerajaan tersebut, ia mengumpulkan beberapa orang dengan kemampuan unik.","[('Genjitsu Shugi Yuusha no Oukoku Saikenki Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/gsynos-episode-3-sub-indo/', '18 Juli,2021', 'https://desustream.me/streamotakuchan/ondesu/?id=cmZuU3VPUHA4RExtR0hYNzVYWmphQT09'), ('Genjitsu Shugi Yuusha no Oukoku Saikenki Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/gsynos-episode-2-sub-indo/', '11 Juli,2021', 'https://desustream.me/streamotakuchan/ondesu/?id=bHVNeXhUeFJHR29yNkt6MFhoUVNEQT09'), ('Genjitsu Shugi Yuusha no Oukoku Saikenki Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/gsynos-episode-1-sub-indo/', '4 Juli,2021', 'https://desustream.me/streamotakuchan/ondesu/?id=VVRFMDVzMHo2NU9HdzdEbURaakFEdDRnU00vbThKeENMSG00bXFObExsVT0=')]"
anime291,Getsuyoubi no Tawawa,Getsuyoubi no Tawawa BD (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2018/02/Getsuyoubi-no-Tawawa-Sub-Indo.jpg, Getsuyoubi no Tawawa, 月曜日のたわわ, 6.52," NBCUniversal Entertainment Japan, i0+", BD, Completed, 12, 4 Menit / Episode," Oct 10, 2016 sampai Dec 26, 2016", Pine Jam," , Slice of Life","Hari Senin bosan? tak perlu lesu lagi, karena setiap senin kalian akan ditemani dengan gadis-gadis dan wanita cantik yang akan menyemangati kalian, Ai-chan yang baik serta  Kouhai-chan yang lugu dan Trainer-san yang akan melatih kalian akan membuat seninmu lebih berharga!.Dari sinilah mereka akan membuat awal seninmu menjadi berharga.","[('Getsuyoubi no Tawawa Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-12-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQaHUrSjdmWEFqZzk2MG5nU3IrVHhGbz0='), ('Getsuyoubi no Tawawa Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-11-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQamJXRHJKVFkxcWdRaFMwdVBsdnkwcz0='), ('Getsuyoubi no Tawawa Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-10-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQbEluZi9vZFNXMEg3aEtsTnhSTEJWaz0='), ('Getsuyoubi no Tawawa Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-9-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQc1cyTVVXNVBTVVJuRDVqcTNTNlZzcz0='), ('Getsuyoubi no Tawawa Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-8-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQaWNaTXlEMU4vdFY2T2pLYmlyRzc5MD0='), ('Getsuyoubi no Tawawa Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-7-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQalFKR2xQNnpZR1l4VjdQbVVyUGpXOD0='), ('Getsuyoubi no Tawawa Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-6-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQZ2RWQUZyN0FNRUYvU3hELzJKclJTbz0='), ('Getsuyoubi no Tawawa Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-5-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQa1J3cnRzbWJmcmg3SDdCRUpWQVlnND0='), ('Getsuyoubi no Tawawa Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-4-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQaTFKWEttbDQwRGhZbWFyeXBxa3g1TT0='), ('Getsuyoubi no Tawawa Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-3-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQdE1PZ1k3aTFWcUJJZDZaeEEvR1BQST0='), ('Getsuyoubi no Tawawa Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-2-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQaG50dnE5Mzl4TFdPeTREUDlBUTVGVT0='), ('Getsuyoubi no Tawawa Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/gtstww-episode-1-sub-indo/', '3 Juli,2019', 'https://desustream.me/desuplay/v2/?id=aVdZWk9nSk0wUnpod2JzM0Z5UVJQcmJzQjc2L09yN3ZoK3BwQzl1K05XZz0=')]"
