id,title,title_detail,img,title_ori,title_jpn,skor,produser,tipe,status,total_eps,durasi,tgl_rilis,studio,genre,data_sinopsis,data_eps
anime694,Ochikobore Fruit Tart,Ochikobore Fruit Tart (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2021/02/Ochikobore-Fruit-Tart-Sub-Indo.jpg, Ochikobore Fruit Tart, おちこぼれフルーツタルト, 6.77," Studio Mausu, Kadokawa", TV, Completed, 12, 23 Menit," Oct 12, 2020", feel.," Music, Slice of Life","Menceritakan 4 gadis Idol yang putus sekolah dan memulai hidupnya dengan membuat sebuah grup Idol bernama Fruit Tart. Untuk memulai grup Idol ini, Sekino Roko, Nukui Hayu, Maehara Nina, dan Sakura Ino tinggal di sebuah asrama.Suatu hari, asrama bernama Nezumi-sou ini terncam di bongkar. Pembongkaran ini harus dilakukan karena hutang yang besar. Untuk membayar hutang ini, mereka di tawari untuk menjalani sebuah proyek besar.Gadis-gadis ini tidak punya pilihan lain dan memilih menerima tawaran tersebut dan bertekad membayar hutang agar asrama tempat mereka tinggal tidak di gusur. Mampukah mereka mengumpulkan uang senilai seratus juta yen?","[('Ochikobore Fruit Tart Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-12-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=K294U1EwcElXR085WDFjbWhrdnRGZz09'), ('Ochikobore Fruit Tart Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-11-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=NWJIZ2l2bHhPQ2RhL3JUaXd3bGI0dz09'), ('Ochikobore Fruit Tart Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-10-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=akFKZldXUlBXOElER1kvbG9SQjJ2UT09'), ('Ochikobore Fruit Tart Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-9-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=SnVPbDlKVlc4WDVnY29NTnVjRXdqUT09'), ('Ochikobore Fruit Tart Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-8-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=SHBPRGl6cmkzYnlsaGtyUmZmWGU5QT09'), ('Ochikobore Fruit Tart Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-7-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=RWF2NnZkL0Z0aThDOVlIVzBJTjNIQT09'), ('Ochikobore Fruit Tart Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-6-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=dEEzTnpHZEZKL1VnVFViNjIwU0JpZz09'), ('Ochikobore Fruit Tart Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-5-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=SnpuUzYzTkFaZGJ5V1ZHWEl6OHNJZz09'), ('Ochikobore Fruit Tart Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-4-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=UExqNldHaUNUTndwbmlHYTJzZ2ZPQT09'), ('Ochikobore Fruit Tart Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-3-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=QTdOeTBMelNab2ZIcklLVzA5RXE2QT09'), ('Ochikobore Fruit Tart Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-2-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=MlVVV2VNMVZMc21vcVBISXNvRWtIUT09'), ('Ochikobore Fruit Tart Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/oft-episode-1-sub-indo/', '1 Maret,2021', 'https://desustream.me/otakuplay/v2/?id=VjhXemhFMWlqb21JdDgyamVnR1NSQT09')]"
anime695,Oda Cinnamon Nobunaga,Oda Cinnamon Nobunaga (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2020/03/Oda-Cinnamon-Nobunaga-Sub-Indo.jpg, Oda Cinnamon Nobunaga, 織田シナモン信長, 6.92," Aniplex, Dentsu, Fuji TV, Sony Creative Products", TV, Completed, 12, 23 Menit," Jan 11, 2020", Studio Signpost," Comedy, Historical, Seinen, Slice of Life","Oda Nobunaga merupakan daimyo jepang yang hidup di jaman sengoku, disaat-saat akhir kematiannya, ia menyebutkan mungkin dirinya akan menjadi anjing di kehidupan berikutnya karena dosa yang lakukan selama hidupnya. Ternyata ucapannya benar-benar terjadi, di masa modern kini Nobunaga bereinkarnasi kembali menjadi seekor anjing.Namun bukan hanya dirinya yang direinkarnasi, ada juga para panglima samurai dan pemimpin terkenal di era sengoku yang direinkarnasi menjadi anjing sama seperti Nobunaga. Bagaimanakah kehidupan barunya kini?","[('Oda Cinnamon Nobunaga Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-12-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=cGlndStvS0tIcnN4M1FXbzFSbEllQT09'), ('Oda Cinnamon Nobunaga Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-11-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=WS9Ec0Z2Ulp3bmpvcUNKS1hROUxPUT09'), ('Oda Cinnamon Nobunaga Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-10-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=eEYzVDc3SXBCZW1qallWZDI4d3lpQT09'), ('Oda Cinnamon Nobunaga Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-9-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=MTBNVG03VDUzZHVnbUpnVFV4MW5OUT09'), ('Oda Cinnamon Nobunaga Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-8-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=Sm5YLyswQ3NBZ28zTDZQY21UTUdXdz09'), ('Oda Cinnamon Nobunaga Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-7-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=MVZGY1pZbVJGTWZwSUVrbzV4WlpTZz09'), ('Oda Cinnamon Nobunaga Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-6-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=cHhkNVBhZmwrcWJaLzFIWWUzc1ZPUT09'), ('Oda Cinnamon Nobunaga Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-5-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=M09kdlJtZHVCdDNWejNNWTBnL0VZUT09'), ('Oda Cinnamon Nobunaga Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-4-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=RnVrZ1RnMVR1b2V4R1FxMW03aG9jZz09'), ('Oda Cinnamon Nobunaga Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-3-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=Yzl3alpKWUgrSTlldnJIQ3RLMUNJdz09'), ('Oda Cinnamon Nobunaga Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-2-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=UWRaOGRUVmlaN0ZDc3JVU2RNNnV3UT09'), ('Oda Cinnamon Nobunaga Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/ocn-episode-1-sub-indo/', '4 April,2020', 'https://desustream.me/otakuplay/v2/?id=enUxM3FhNno0NHQ0SXZ1eGtsd3poQT09')]"
anime696,Oda Nobuna no Yabou,Oda Nobuna no Yabou (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2019/01/Oda-Nobuna-no-Yabou-Sub-Indo.jpg, Oda Nobuna no Yabou, 織田信奈の野望, 7.60," Pony Canyon, AT-X, KlockWorx, SoftBank Creative", BD, Completed, 12, 24 Menit," Jul 9, 2012"," Madhouse, Studio Gokumi"," Comedy, Historical, Isekai, Romance","Yoshiharu Sagara mendapati dirinya tiba-tiba saja berada di tengah medan perang era sengoku, ia diselamatkan oleh Hideyoshi Toyotomi yang kemudian gugur karena menyelamatkannya, Hideyoshi sang legendaris tersebut akhirnya berpesan untuk melanjutkan impiannya kepada Yoshiharu. Entah apa yang terjadi sebenarnya namun Yoshiharu menerima impian lelaki tersebut dan menggantikannya.Dapat disimpulkan, saat ini Yoshiharu berpindah ke masa lalu dan berada di zaman sengoku. Di medan perang tersebut Yoshiharu akhirnya bertemu dengan ketua keluarga Oda. Dalam sejarah yang tertulis adalah lelaki bernama Oda Nobunaga, tapi yang ia temui adalah seorang gadis bernama Oda Nobuna. Bukan itu saja, panglima dan kaisar perang sejarah sebagian merupakan gadis-gadis yang cantik.Kini Yoshiharu menjadi “saru”-nya Oda Nobuna dan bertugas untuk menjadi pelayan disisinya karena Yoshiharu telah menyelamatkannya saat perang tersebut. Terlebih lagi, Yoshiharu juga memiliki kemampuan layaknya pembaca masa depan, kehebatan itu ia miliki karena sering bermain game “Nobunaga’s Ambition” yang menceritakan sejarah.Bagaimanakah kisah selanjutnya? apakah Yoshiharu dapat kembali ke masa depan atau ia harus menggunakan kemampuannya tersebut untuk membantu Oda Nobuna?","[('Oda Nobuna no Yabou Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-12-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmsweFpkZkwzUHFEbCtzdklyc1plU0NBRT0='), ('Oda Nobuna no Yabou Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-11-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswK280bklYL2JhdHBudkVmM250UDFzaz0='), ('Oda Nobuna no Yabou Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-10-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswekU2RDhPb2RMMkVyS1R0WlVTTDZwOD0='), ('Oda Nobuna no Yabou Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-9-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswM0RXbFAwTEZzUmhIYksxZExRdW1xUT0='), ('Oda Nobuna no Yabou Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-8-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswMjZrVFJxWDlsM2ttWDBJRG5sS0phbz0='), ('Oda Nobuna no Yabou Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-7-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswNHp4LzR4bDlHU3J6ZGVCZEN6WS9RST0='), ('Oda Nobuna no Yabou Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-6-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswOHl1aGFiTTQ4d1pPUlVrcFlpY1ZQOD0='), ('Oda Nobuna no Yabou Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-5-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswKzRKREM1d3ErOW5CemJyK0tUSmxydz0='), ('Oda Nobuna no Yabou Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-4-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswNFZKZ3VkM1g3UmIzU2taditsYndGUT0='), ('Oda Nobuna no Yabou Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-3-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswMHlVSnYzeG1wbmlDUlN5djEzTmROUT0='), ('Oda Nobuna no Yabou Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-2-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswOTdFOGswL21razIxLzA0cEozenV1OD0='), ('Oda Nobuna no Yabou Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/odnyb-episode-1-sub-indo/', '10 Mei,2019', 'https://desustream.me/playdesu/v2/?id=b05yR0E4NmhESHMzcEFrcmdvMmswL1R5bDJnb1hrZ3hGQUhvSXpocDQwMD0=')]"
anime697,Okaasan online,Okaasan online (Episode 1 – 12) Subtitle Indonesia,https://i0.wp.com/otakudesu.moe/wp-content/uploads/2019/09/Okaasan-online-Sub-Indo.jpg, Okaasan online, 通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？, 5.85," Toranoana, Q-Tec, Contents Seed", TV, Completed, 12, 23 Menit," Jul 13, 2019", J.C.Staff," Adventure, Comedy, Fantasy","Anime ini bercerita tentang seorang remaja bernama Masato Oosuki. Suatu hari Masato sedang mengisi survey misterius tentang kedekatan anak dengan ibu mereka. Ternyata survey tersebut merupakan salah satu program yang dijalankan oleh pemerintah.Program tersebut merupakan sebuah proyek game virtual fantasy MMORPG yang sedang dibangun oleh pemerintah guna membangun sebuah ikatan antara anak dengan ibunya. Masato & Mamako kini menjadi salah satu beta tester di dalam game tersebut.Walaupun dunia game ini tak seperti yang diharapkan Masato, namun ini merupakan pengalaman yang berharga baginya. Bagaimanakah kelanjutan cerita mereka di dunia game ini?","[('Okaa-san Online Episode 12 (End) Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-12-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zT0NPakNkdlJFVTlEK3o1ZFRVdlJ3OD0='), ('Okaa-san Online Episode 11 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-11-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zRUwxaVhFbzBnTENVbGZHVUhzUHM1MD0='), ('Okaa-san Online Episode 10 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-10-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zTFZmbWpaV2puSVhiWkxnV3RjMGMwcz0='), ('Okaa-san Online Episode 9 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-9-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zSEZORjA2L1FGUWNXMjU0TWJMalNiaz0='), ('Okaa-san Online Episode 8 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-8-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zRUVDR1ovaXluMS82czZ5WUR0c0hTZz0='), ('Okaa-san Online Episode 7 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-7-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zTTlGQzNhdGJqNDVoN01ZRDRqR1ZWYz0='), ('Okaa-san Online Episode 6 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-6-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zSHhhZEkvb2VFRzljSEtURS9XUFlXST0='), ('Okaa-san Online Episode 5 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-5-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zSXhMYkF3a1pSVlNITDVVemdJQzJuTT0='), ('Okaa-san Online Episode 4 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-4-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zRUlhVmUya2pFY3lCUmhndEpiNlZzRT0='), ('Okaa-san Online Episode 3 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-3-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zUHpiUkt1VUk1QU9mM25POTFHWFBYRT0='), ('Okaa-san Online Episode 2 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-2-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zQ3phNWZNT01SYXFEamlXUGJkQ09END0='), ('Okaa-san Online Episode 1 Subtitle Indonesia', 'https://otakudesu.moe/oks-on-episode-1-sub-indo/', '30 September,2019', 'https://desustream.me/otakuplay/v2/?id=MHlwNGU2MHhYYllEUU9qOXF2VG4zSmlGeTd6SHZMUklVVWVHNTNyeU9XND0=')]"
