UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
nie,@NieSide27,2021-05-16T17:14:04.000Z,"Membalas 
@alextham878eh.. RUU cipta kerja aja blom selesai udh mo belain palestina... jangan bawa2 KSPI dong klo mo demo palestina... sangat ngga relefan. apa dunia jg akan perduli dng RUU cipta kerja ?! klo pakai nama  lembaga ato ormas silakan aja...",,,,1
Silvia,@Silvia65223258,2021-05-13T13:28:50.000Z,RUU cipta kerja menjadikan Indonesia menjadi lebih baik,,,,1
JMKaisa,@jihad_kaisa,2021-05-11T05:27:44.000Z,"Btw satu hal kalo buat kerusuhan yang sampe tenaga medis diserang segala mah, coba berkaca sama kasus kerusuhan yang bahas RUU Cipta Kerja, sama aja kok di Indonesia juga udah mulai kyk gitu tenaga medis ada yang diserang aparat ",,1,,
MudaAdalahKekuatan,@Hasbil_Lbs,2021-05-10T18:35:41.000Z,"Nah sekarang baru kalian teriakkan? 
Itulah kenapa dari awal Demokrat Menolak RUU Cipta Kerja!Kutip Tweet
Liputan6.com
@liputan6dotcom
 · 10 Mei
#LIP6id
Kepala Daerah Ramai-Ramai Kritik Aturan Turunan Cipta Kerja, Kenapa?
https://liputan6.id/read/2429462/kepala-daerah-ramairamai-kritik-aturan-turunan-cipta-kerja-kenapa?utm_source=Twitter&utm_medium=Post&utm_campaign=Twitter_acung…",,2,4,20
Minseo,@0502MINSEO,2021-05-09T14:46:12.000Z,"Membalas 
@0502JENO
 @0502MTUAN
  dan 2 lainnyaRUU CIPTA KERJA",,1,1,
presiden terbaik di dunia,@gotluking,2021-05-09T10:22:50.000Z,"Membalas 
@cuantastix
 dan 
@tribunnewsIni mah semacam RUU cipta kerja kemaren. Setelah cair beda lagi suaranya",,,,
Eru,@diverxent,2021-05-08T22:23:01.000Z,"Oh iya, aksinya itu waktu nolak RUU Cipta Kerja, aku sih sekalian weh di kertas nulis yang soal RUU PKS. Tapi ternyata waktu aksi, mahasiswa di kotaku banyak yang gak tau soal RUU PKS. Jadi agak hah heh hoh...

Mana ada yang orasi tapi isinya mengawur, sampe malu dengernya ",🙃,,,
pengagum_senjaa,@dikalasoree,2021-05-08T05:52:22.000Z,"Membalas 
@kangbubur123Knapa bukan Omnibus law RUU Cipta Kerja ra?",,1,,
saraswati,@saraswa48146272,2021-05-08T02:15:55.000Z,meluruskan 12 hoax omnibus law RUU cipta kerja,,,,
𝐿𝒶𝓋𝒾𝓈𝓉𝒶,@lavistasn,2021-05-07T15:55:24.000Z,"Membalas 
@reffhpTau aje alumni ruu cipta kerja",,,,
Jalil,@jalilanjim,2021-05-07T10:24:00.000Z,"Tidak hanya akan menguntungkan pekerja di kota saja, RUU Cipta Kerja juga akan memberikan manfaat untuk para petani. Kesejahteraan petani lebih terjamin dengan adanya RUU Cipta Kerja #SemangatBangkitkanRI",,,,
